价格,涨跌幅,成交量,成交额,当前振幅,当前换手率,动态市盈率,量比,代码,名称,总市值,流通市值,市净率,60日涨幅,今年涨幅,主力流入
1156.0,3.77,58063,6635936256,4.94,0.46,35.76,1.21,600519,贵州茅台,1452164656800,1452164656800,11.59,-1.2,-2.2800000000000002,348453312
25.06,3.09,2644569,6541104128,4.24,2.69,21.64,0.87,600030,中信证券,303649724504,245955422202,1.88,11.97,-0.9500000000000001,449349792
79.18,1.33,717006,5645289728,2.5,0.66,9.69,0.91,601318,中国平安,1447429514844,857730374952,2.15,-6.5600000000000005,-7.35,298779584
24.03,9.23,1873971,4331091456,9.32,4.59,63.78,1.31,600703,三安光电,98004551020,98004551020,4.54,35.92,30.88,326354928
37.32,3.7800000000000002,906670,3335291520,8.12,10.49,56.03,0.93,601066,中信建投,285363097082,32258481904,5.04,64.55,22.76,61016080
57.57,3.36,428333,2436240576,5.26,1.07,9.61,0.8200000000000001,600585,海螺水泥,305080849473,230262877473,2.39,22.18,5.05,116548288
90.6,1.92,262845,2370345104,3.88,0.6000000000000001,80.47,0.86,600276,恒瑞医药,400706966248,399828213020,17.31,4.02,3.52,107564736
25.64,4.82,923853,2325076720,11.12,25.38,131.9,0.96,601236,红塔证券,93160514353,9332960000,7.13,61.36,52.89,63114682
34.68,1.46,668298,2309858480,2.52,0.32,8.49,0.79,600036,招商银行,874624245443,715411792798,1.43,-4.75,-7.72,56815744
19.55,2.52,1166996,2252104672,3.99,1.5899999999999999,20.66,0.87,601688,华泰证券,177448507500,143841164456,1.48,9.22,-3.74,94138496
34.37,-1.8599999999999999,660975,2232069568,4.23,3.01,84.37,1.04,600547,山东黄金,106533651792,75493583743,4.79,8.53,5.36,-412025222
29.89,2.96,609021,1797201136,3.62,1.03,24.27,0.93,600887,伊利股份,182220764066,176728560377,7.48,-1.19,-3.39,141804284
10.67,5.23,1714959,1796810240,5.33,1.49,7.4,0.89,601186,中国铁建,144893707805,122739629485,0.9,10.8,5.23,64087890
14.72,2.01,1103006,1611161296,3.81,1.3599999999999999,17.19,0.8,600837,海通证券,169305024000,119116170970,1.3599999999999999,4.25,-4.79,-20666387
5.6,2.19,2872146,1595402608,3.1,0.7000000000000001,5.88,0.75,601668,中国建筑,235063526382,231020175926,0.96,9.8,-0.36,78345776
29.32,2.09,503515,1449724576,5.47,1.34,23.81,0.88,601012,隆基股份,110595531315,110464559462,4.29,14.53,18.08,313608
5.77,2.3,2432712,1379008400,4.79,1.15,31.11,1.11,600050,中国联通,179017179354,122304361199,1.25,2.12,-2.04,44386720
5.36,0.9400000000000001,2508208,1336201312,1.51,0.09,5.69,1.04,601398,工商银行,1910337537997,1445121459209,0.79,-6.78,-8.84,-7677008
17.57,1.15,758353,1328221232,2.01,0.4,4.99,0.9400000000000001,601166,兴业银行,365002531495,334749556715,0.75,-7.18,-11.26,-58839893
17.89,2.0,734369,1303292400,4.9,0.87,12.34,0.65,600031,三一重工,150745545359,150653723914,3.54,14.9,4.93,37025760
4.82,-1.83,2633979,1268384880,3.87,0.28,10.11,1.25,600028,中国石化,583563230494,460588456442,0.8,-2.03,-5.68,-96493203
111.63,-0.34,114046,1265613504,4.72,1.13,78.31,1.13,603259,药明康德,184315254656,112308319918,10.44,19.97,21.18,-141330259
16.39,1.3599999999999999,711188,1160198080,4.02,0.6000000000000001,11.43,0.6000000000000001,600048,保利地产,195576545905,195576545905,1.29,9.41,1.3,-7691023
16.59,2.5300000000000002,711824,1157534576,5.01,3.87,24.26,0.8300000000000001,601138,工业富联,329391661204,30505924642,4.08,-1.25,-9.2,-10547957
31.65,2.23,336940,1052212736,3.46,0.54,9.39,0.89,601601,中国太保,286812300000,198974055000,1.6800000000000002,-9.1,-16.36,-31968193
27.97,0.32,376748,1049096448,3.59,1.87,26.05,1.09,600196,复星医药,71684272304,56246496519,2.34,10.73,5.15,-36369676
4.22,1.2,2371561,978358368,5.76,1.34,54.95,0.91,603993,洛阳钼业,91148795260,74549560300,2.27,12.83,-3.21,-38472845
49.56,2.14,199226,974106384,4.23,1.4,14.77,0.72,600309,万华化学,155605842785,70561368175,3.86,-1.26,-11.77,-28738226
18.34,2.52,516970,937013728,4.25,0.6900000000000001,18.72,0.81,601211,国泰君安,163371774866,137845664385,1.19,4.74,-0.81,19363197
81.48,2.9699999999999998,115435,934642048,5.38,0.59,28.44,0.7000000000000001,601888,中国国旅,159087707325,159087707325,7.99,-6.5600000000000005,-8.4,29188175
8.04,1.01,1151333,903104832,5.53,1.16,12.95,1.31,601111,中国国航,116779514087,80095539841,1.24,-6.29,-17.03,5645582
17.7,0.63,485647,856435296,3.24,0.77,11.24,1.16,600690,海尔智家,116458329298,111661381976,2.65,3.81,-9.23,37841969
6.53,0.77,1227945,799213376,1.54,1.28,5.43,1.04,601939,建设银行,1632571682984,62646584167,0.79,-8.54,-9.68,-24863156
71.0,0.84,106749,756335344,3.2,0.98,27.2,0.63,600009,上海机场,136814049808,77636824187,4.27,-8.68,-9.84,22820656
5.79,3.76,1289262,735333616,5.5600000000000005,0.6900000000000001,6.89,0.8,601390,中国中铁,142265680549,107907717834,0.78,3.21,-2.5300000000000002,103996628
5.35,1.33,1369031,729627040,3.41,0.35000000000000003,4.95,1.22,601328,交通银行,397305587551,209992122480,0.59,-2.19,-4.97,16950628
3.46,0.87,2078093,717049488,1.75,0.07,5.03,1.04,601288,农业银行,1210941297201,1017431316908,0.7000000000000001,-4.16,-6.23,67818474
5.15,0.0,1353587,691745632,1.94,0.08,18.96,0.96,601857,中国石油,942558035763,833898700763,0.77,-8.69,-11.66,-54408321
23.3,4.67,286377,656636224,6.33,0.25,9.82,1.24,600104,上汽集团,272224649805,272224649805,1.11,2.42,-2.31,65595038
5.84,0.86,1026639,598253024,1.9,0.29,4.21,1.06,600016,民生银行,255689324052,207098799564,0.58,-5.65,-7.45,5820217
7.01,1.74,851795,588922960,3.19,1.52,10.88,0.74,601319,中国人保,310010173987,39266984803,1.73,3.24,-7.64,8833093
